community,school_name,year,initiative,students_reached,modality,notes
Vancouver,Vancouver Secondary,2023,High School Mentoring,72,Virtual,Career panel
Vancouver,Vancouver Learning Centre,2025,Rural Pre-Health Stream,23,Virtual,Career panel
Vancouver,Vancouver Learning Centre,2021,High School Mentoring,74,Hybrid,Career panel
Vancouver,Vancouver Learning Centre,2023,REAP Presentation,65,Hybrid,Application tips
Vancouver,Vancouver High School,2025,High School Mentoring,55,Hybrid,Application tips
Vancouver,Vancouver High School,2023,Rural Pre-Health Stream,86,Virtual,Workshop
Victoria,Victoria Secondary,2024,High School Mentoring,106,In-person,Mentor Q&A
Victoria,Victoria Secondary,2024,High School Mentoring,90,Hybrid,Mentor Q&A
Victoria,Victoria Secondary,2021,REAP Presentation,64,Hybrid,Career panel
Victoria,Victoria Secondary,2022,High School Mentoring,73,In-person,Career panel
Prince George,Prince George Secondary,2023,REAP Presentation,108,Virtual,Mentor Q&A
Prince George,Prince George Secondary,2024,Rural Pre-Health Stream,68,Hybrid,Mentor Q&A
Kamloops,Kamloops Learning Centre,2021,REAP Presentation,77,Virtual,Application tips
Kamloops,Kamloops Learning Centre,2022,Rural Pre-Health Stream,84,Hybrid,Workshop
Kamloops,Kamloops Learning Centre,2023,REAP Presentation,98,Virtual,Workshop
Kamloops,Kamloops Secondary,2024,High School Mentoring,69,Hybrid,Mentor Q&A
Kamloops,Kamloops Secondary,2023,High School Mentoring,142,In-person,Application tips
Kamloops,Kamloops High School,2022,REAP Presentation,82,Hybrid,Application tips
Kamloops,Kamloops High School,2025,REAP Presentation,117,In-person,Workshop
Kelowna,Kelowna College,2021,High School Mentoring,54,Hybrid,Workshop
Kelowna,Kelowna College,2025,REAP Presentation,123,Hybrid,Career panel
Nanaimo,Nanaimo Elem School,2024,High School Mentoring,44,Hybrid,Mentor Q&A
Nanaimo,Nanaimo Elem School,2023,REAP Presentation,102,Virtual,Mentor Q&A
Nanaimo,Nanaimo Elem School,2025,Rural Pre-Health Stream,55,In-person,Career panel
Nanaimo,Nanaimo Learning Centre,2023,High School Mentoring,91,Hybrid,Workshop
Nanaimo,Nanaimo Learning Centre,2022,High School Mentoring,110,Virtual,Career panel
Nanaimo,Nanaimo Learning Centre,2025,REAP Presentation,97,In-person,Career panel
Prince Rupert,Prince Rupert Community School,2022,High School Mentoring,35,Virtual,Application tips
Prince Rupert,Prince Rupert Community School,2021,High School Mentoring,47,Virtual,Application tips
Terrace,Terrace High School,2025,High School Mentoring,66,Hybrid,Mentor Q&A
Terrace,Terrace High School,2024,Rural Pre-Health Stream,110,In-person,Application tips
Terrace,Terrace Secondary,2022,High School Mentoring,101,Virtual,Workshop
Terrace,Terrace College,2021,High School Mentoring,30,Virtual,Career panel
Fort St. John,Fort St. John Community School,2025,High School Mentoring,86,Hybrid,Application tips
Cranbrook,Cranbrook College,2025,REAP Presentation,136,Virtual,Application tips
Williams Lake,Williams Lake High School,2021,REAP Presentation,125,In-person,Application tips
Williams Lake,Williams Lake Elem School,2021,High School Mentoring,118,Hybrid,Mentor Q&A
Williams Lake,Williams Lake Elem School,2025,High School Mentoring,78,Virtual,Workshop
Quesnel,Quesnel Elem School,2024,High School Mentoring,86,In-person,Workshop
Quesnel,Quesnel Secondary,2025,High School Mentoring,18,Virtual,Workshop
Quesnel,Quesnel Secondary,2021,High School Mentoring,119,In-person,Application tips
Quesnel,Quesnel High School,2021,Rural Pre-Health Stream,15,In-person,Mentor Q&A
Quesnel,Quesnel High School,2022,Rural Pre-Health Stream,88,In-person,Application tips
Powell River,Powell River High School,2022,REAP Presentation,30,Hybrid,Mentor Q&A
Powell River,Powell River High School,2021,High School Mentoring,27,Hybrid,Application tips
Courtenay,Courtenay College,2021,REAP Presentation,35,Virtual,Career panel
Courtenay,Courtenay College,2022,Rural Pre-Health Stream,45,Hybrid,Workshop
Courtenay,Courtenay College,2021,REAP Presentation,148,In-person,Mentor Q&A
Courtenay,Courtenay College,2025,High School Mentoring,95,Virtual,Mentor Q&A
Courtenay,Courtenay College,2022,Rural Pre-Health Stream,48,Hybrid,Mentor Q&A
Chilliwack,Chilliwack Community School,2021,Rural Pre-Health Stream,40,Virtual,Workshop
Chilliwack,Chilliwack College,2022,High School Mentoring,77,In-person,Mentor Q&A
Chilliwack,Chilliwack College,2023,High School Mentoring,127,Hybrid,Mentor Q&A
Squamish,Squamish Learning Centre,2021,High School Mentoring,49,In-person,Career panel
Squamish,Squamish Learning Centre,2023,High School Mentoring,54,In-person,Mentor Q&A
Squamish,Squamish Learning Centre,2024,REAP Presentation,68,Hybrid,Mentor Q&A
Squamish,Squamish High School,2023,High School Mentoring,38,Hybrid,Application tips
Squamish,Squamish High School,2024,Rural Pre-Health Stream,26,Virtual,Mentor Q&A
Squamish,Squamish High School,2022,High School Mentoring,82,Virtual,Application tips
Squamish,Squamish College,2024,High School Mentoring,53,Hybrid,Career panel
Squamish,Squamish College,2021,Rural Pre-Health Stream,52,In-person,Workshop
Squamish,Squamish College,2025,High School Mentoring,93,In-person,Career panel
Whistler,Whistler High School,2022,REAP Presentation,119,Hybrid,Workshop
Whistler,Whistler High School,2021,High School Mentoring,56,Virtual,Application tips
Whistler,Whistler High School,2025,High School Mentoring,60,Hybrid,Mentor Q&A
Whistler,Whistler Elem School,2022,REAP Presentation,42,In-person,Career panel
Whistler,Whistler Elem School,2023,Rural Pre-Health Stream,71,Virtual,Application tips
Whistler,Whistler Elem School,2021,Rural Pre-Health Stream,93,Virtual,Workshop
Penticton,Penticton Learning Centre,2024,Rural Pre-Health Stream,86,Virtual,Mentor Q&A
Vernon,Vernon Learning Centre,2024,High School Mentoring,81,Virtual,Mentor Q&A
Vernon,Vernon Learning Centre,2023,High School Mentoring,42,Hybrid,Application tips
Vernon,Vernon Learning Centre,2021,Rural Pre-Health Stream,95,In-person,Career panel
Vernon,Vernon Elem School,2022,REAP Presentation,126,Virtual,Workshop
Vernon,Vernon Elem School,2023,Rural Pre-Health Stream,125,Virtual,Mentor Q&A
Vernon,Vernon Elem School,2021,REAP Presentation,95,Hybrid,Career panel
Dawson Creek,Dawson Creek Community School,2023,Rural Pre-Health Stream,90,Hybrid,Workshop
Dawson Creek,Dawson Creek Community School,2024,High School Mentoring,122,Hybrid,Application tips
Dawson Creek,Dawson Creek Community School,2022,REAP Presentation,59,Hybrid,Mentor Q&A
Dawson Creek,Dawson Creek Elem School,2021,High School Mentoring,125,Hybrid,Mentor Q&A
Dawson Creek,Dawson Creek Elem School,2023,Rural Pre-Health Stream,128,In-person,Workshop
Dawson Creek,Dawson Creek Elem School,2022,REAP Presentation,136,Hybrid,Workshop
Dawson Creek,Dawson Creek Learning Centre,2023,REAP Presentation,100,Virtual,Workshop
Kitimat,Kitimat Community School,2022,High School Mentoring,21,Virtual,Workshop
Kitimat,Kitimat Elem School,2021,REAP Presentation,64,Hybrid,Application tips
Kitimat,Kitimat Elem School,2024,Rural Pre-Health Stream,117,Virtual,Workshop
Kitimat,Kitimat Elem School,2022,REAP Presentation,16,Virtual,Application tips
Kitimat,Kitimat High School,2025,Rural Pre-Health Stream,27,Hybrid,Workshop
Smithers,Smithers Elem School,2024,REAP Presentation,150,Hybrid,Mentor Q&A
Salmon Arm,Salmon Arm College,2025,Rural Pre-Health Stream,55,Hybrid,Application tips
Salmon Arm,Salmon Arm College,2024,Rural Pre-Health Stream,81,Virtual,Mentor Q&A
Salmon Arm,Salmon Arm College,2023,REAP Presentation,139,Hybrid,Workshop
Salmon Arm,Salmon Arm Community School,2021,High School Mentoring,84,In-person,Mentor Q&A
Salmon Arm,Salmon Arm Community School,2023,REAP Presentation,35,Virtual,Workshop
Trail,Trail Elem School,2022,Rural Pre-Health Stream,119,In-person,Application tips
Trail,Trail Elem School,2025,Rural Pre-Health Stream,30,Virtual,Application tips
Trail,Trail Elem School,2021,Rural Pre-Health Stream,20,Hybrid,Application tips
Revelstoke,Revelstoke Secondary,2023,Rural Pre-Health Stream,71,In-person,Workshop
